topicid,title,year,weight
18,ACM SIGAPL APL Quote Quad,1982,0.3381
39,ACM SIGAPL APL Quote Quad,1982,0.445124
67,ACM SIGAPL APL Quote Quad,1982,0.3752
74,ACM SIGAPL APL Quote Quad,1982,0.3851
124,ACM SIGAPL APL Quote Quad,1982,0.2499
139,ACM SIGAPL APL Quote Quad,1982,0.2489
206,ACM SIGAPL APL Quote Quad,1982,0.2938
208,ACM SIGAPL APL Quote Quad,1982,0.4071
221,ACM SIGAPL APL Quote Quad,1982,0.3
0,ACM SIGAPL APL Quote Quad,1983,0.33
31,ACM SIGAPL APL Quote Quad,1983,0.2449
39,ACM SIGAPL APL Quote Quad,1983,0.481128947
67,ACM SIGAPL APL Quote Quad,1983,0.4982
180,ACM SIGAPL APL Quote Quad,1983,0.2862
206,ACM SIGAPL APL Quote Quad,1983,0.2718
221,ACM SIGAPL APL Quote Quad,1983,0.3634
0,ACM SIGAPL APL Quote Quad,1984,0.3216
39,ACM SIGAPL APL Quote Quad,1984,0.431854545
40,ACM SIGAPL APL Quote Quad,1984,0.2153
67,ACM SIGAPL APL Quote Quad,1984,0.5312
74,ACM SIGAPL APL Quote Quad,1984,0.50195
139,ACM SIGAPL APL Quote Quad,1984,0.6819
206,ACM SIGAPL APL Quote Quad,1984,0.2874
208,ACM SIGAPL APL Quote Quad,1984,0.3071
221,ACM SIGAPL APL Quote Quad,1984,0.28075
244,ACM SIGAPL APL Quote Quad,1984,0.24395
17,ACM SIGAPL APL Quote Quad,1985,0.2664
39,ACM SIGAPL APL Quote Quad,1985,0.448206897
40,ACM SIGAPL APL Quote Quad,1985,0.2127
45,ACM SIGAPL APL Quote Quad,1985,0.2542
67,ACM SIGAPL APL Quote Quad,1985,0.3611
124,ACM SIGAPL APL Quote Quad,1985,0.27315
131,ACM SIGAPL APL Quote Quad,1985,0.2693
194,ACM SIGAPL APL Quote Quad,1985,0.2569
220,ACM SIGAPL APL Quote Quad,1985,0.2249
221,ACM SIGAPL APL Quote Quad,1985,0.3233
244,ACM SIGAPL APL Quote Quad,1985,0.31655
248,ACM SIGAPL APL Quote Quad,1985,0.23425
0,ACM SIGAPL APL Quote Quad,1986,0.3919
39,ACM SIGAPL APL Quote Quad,1986,0.446170833
58,ACM SIGAPL APL Quote Quad,1986,0.2981
67,ACM SIGAPL APL Quote Quad,1986,0.502533333
74,ACM SIGAPL APL Quote Quad,1986,0.4636
124,ACM SIGAPL APL Quote Quad,1986,0.7107
150,ACM SIGAPL APL Quote Quad,1986,0.267
180,ACM SIGAPL APL Quote Quad,1986,0.3145
244,ACM SIGAPL APL Quote Quad,1986,0.29615
16,ACM SIGAPL APL Quote Quad,1987,0.3471
17,ACM SIGAPL APL Quote Quad,1987,0.306
39,ACM SIGAPL APL Quote Quad,1987,0.463059794
67,ACM SIGAPL APL Quote Quad,1987,0.6288
74,ACM SIGAPL APL Quote Quad,1987,0.4331
124,ACM SIGAPL APL Quote Quad,1987,0.3527
131,ACM SIGAPL APL Quote Quad,1987,0.3723
150,ACM SIGAPL APL Quote Quad,1987,0.2974
177,ACM SIGAPL APL Quote Quad,1987,0.6019
221,ACM SIGAPL APL Quote Quad,1987,0.2987
244,ACM SIGAPL APL Quote Quad,1987,0.28515
248,ACM SIGAPL APL Quote Quad,1987,0.2083
39,ACM SIGAPL APL Quote Quad,1988,0.38439375
139,ACM SIGAPL APL Quote Quad,1988,0.2316
177,ACM SIGAPL APL Quote Quad,1988,0.375
208,ACM SIGAPL APL Quote Quad,1988,0.3967
17,ACM SIGAPL APL Quote Quad,1989,0.3664
37,ACM SIGAPL APL Quote Quad,1989,0.2121
39,ACM SIGAPL APL Quote Quad,1989,0.391712727
58,ACM SIGAPL APL Quote Quad,1989,0.373125
67,ACM SIGAPL APL Quote Quad,1989,0.2827
74,ACM SIGAPL APL Quote Quad,1989,0.4734
131,ACM SIGAPL APL Quote Quad,1989,0.333133333
170,ACM SIGAPL APL Quote Quad,1989,0.5394
177,ACM SIGAPL APL Quote Quad,1989,0.4639
180,ACM SIGAPL APL Quote Quad,1989,0.23635
220,ACM SIGAPL APL Quote Quad,1989,0.2516
221,ACM SIGAPL APL Quote Quad,1989,0.362
244,ACM SIGAPL APL Quote Quad,1989,0.4101
248,ACM SIGAPL APL Quote Quad,1989,0.4385
37,ACM SIGAPL APL Quote Quad,1990,0.2097
39,ACM SIGAPL APL Quote Quad,1990,0.403350847
45,ACM SIGAPL APL Quote Quad,1990,0.3718
58,ACM SIGAPL APL Quote Quad,1990,0.349366667
67,ACM SIGAPL APL Quote Quad,1990,0.3985
124,ACM SIGAPL APL Quote Quad,1990,0.4327
150,ACM SIGAPL APL Quote Quad,1990,0.2025
177,ACM SIGAPL APL Quote Quad,1990,0.35175
180,ACM SIGAPL APL Quote Quad,1990,0.2603
197,ACM SIGAPL APL Quote Quad,1990,0.3924
208,ACM SIGAPL APL Quote Quad,1990,0.484
221,ACM SIGAPL APL Quote Quad,1990,0.2091
229,ACM SIGAPL APL Quote Quad,1990,0.2682
244,ACM SIGAPL APL Quote Quad,1990,0.262266667
248,ACM SIGAPL APL Quote Quad,1990,0.3975
18,ACM SIGAPL APL Quote Quad,1991,0.2815
39,ACM SIGAPL APL Quote Quad,1991,0.443021569
45,ACM SIGAPL APL Quote Quad,1991,0.2704
67,ACM SIGAPL APL Quote Quad,1991,0.3603
74,ACM SIGAPL APL Quote Quad,1991,0.3808
106,ACM SIGAPL APL Quote Quad,1991,0.2286
